gender,height
female,164.1
female,165.6
female,161.2
female,163.6
female,161.8
female,169.2
female,154.8
female,162.5
female,152.7
female,154.8
female,165.7
female,159.8
female,170.1
female,163.4
female,166.9
female,171.9
female,158.9
female,146.3
female,152.0
female,153.9
female,159.6
female,154.0
female,166.5
female,167.3
female,159.0
female,166.9
female,166.5
female,178.1
female,178.8
female,160.4
female,185.1
female,156.4
female,162.4
female,169.0
female,172.1
female,175.1
female,169.2
female,157.2
female,149.8
female,165.6
female,182.1
female,159.6
female,165.3
female,156.6
female,170.4
female,147.0
female,175.2
female,161.6
female,171.7
male,178.6
male,194.9
male,177.0
male,179.2
male,181.4
male,182.8
male,185.8
male,181.0
male,175.4
male,173.0
male,184.2
male,181.2
male,182.4
male,169.5
male,170.3
male,188.4
male,182.5
male,182.1
male,193.9
male,175.8
male,182.6
male,173.7
male,169.0
male,170.1
male,184.8
male,173.9
male,167.6
male,179.8
male,184.9
male,188.6
male,197.0
male,186.7
male,171.7
male,178.5
male,186.3
male,173.7
male,183.2
male,186.0
male,164.5
male,178.9
male,186.8
male,183.2
male,180.4
male,177.9
male,193.9
male,177.7
male,165.7
male,174.4
